,brand,model,model_year,milage,fuel_type,price
157,Subaru,Forester Base,2020,32744,Gasoline,24000
158,Porsche,Panamera 2,2012,54000,Gasoline,26000
159,Toyota,Tacoma PreRunner,2008,202055,Gasoline,8500
160,RAM,2500 Laramie,2019,65000,Diesel,65000
161,Kia,Sportage Nightfall,2022,9686,Gasoline,30990
162,Cadillac,DTS Base,2010,49620,Gasoline,10499
163,Toyota,Land Cruiser Base,1997,213000,Gasoline,26500
164,Nissan,GT-R Premium,2020,16010,Gasoline,114000
165,Lexus,NX 350 F,2023,820,Gasoline,51998
166,Audi,Q7 45 Premium,2021,68000,Gasoline,36499
167,Lexus,LX 470 Base,1999,82000,Gasoline,25000
168,GMC,Terrain SLE,2022,27352,Gasoline,27785
169,Ford,Escape Limited,2012,129000,Gasoline,7000
170,Lexus,LS 460 L,2014,106731,Gasoline,30000
171,Ford,Expedition Platinum,2019,34672,Gasoline,45500
172,Chevrolet,Malibu LTZ,2010,55900,Gasoline,8950
173,Audi,RS 7 4.0T,2023,3158,Gasoline,128900
174,Audi,A5 2.0T Premium,2015,82000,Gasoline,17000
175,Genesis,G70 2.0T,2023,4785,Gasoline,42850
176,Chevrolet,Trailblazer LS,2021,20497,Gasoline,22999
177,Scion,tC Base,2013,177600,Gasoline,7100
180,Porsche,911 GT2 RS,2018,4529,Gasoline,417500
181,Ford,Explorer Timberline,2021,25240,Gasoline,39951
182,Volvo,XC90 3.2,2011,88300,Gasoline,11500
184,Audi,TT RS 2.5T,2018,20675,Gasoline,76000
185,Lincoln,Navigator L,2008,95000,Gasoline,10900
186,Hyundai,Elantra GLS,2010,107000,Gasoline,6250
187,Audi,SQ5 3.0T Premium,2016,60000,Gasoline,24700
188,Mitsubishi,Lancer Evolution GSR,2012,33000,Gasoline,34999
190,Mercedes-Benz,Maybach S S,2016,108500,Gasoline,63500
191,Nissan,GT-R Premium,2017,37800,Gasoline,149500
192,Mercedes-Benz,GLS 550 Base,2018,74422,Gasoline,44798
193,Chevrolet,Blazer Premier,2019,55621,Gasoline,34562
194,Mazda,CX-9 Grand Touring,2021,46707,Gasoline,32541
195,Ford,Expedition Max Limited,2022,26500,Gasoline,65900
196,Nissan,Titan XD SV,2020,10001,Gasoline,47214
197,Lexus,LX 570 Three-Row,2019,19050,Gasoline,76900
198,Chevrolet,Traverse Premier,2020,52000,Gasoline,35800
199,Mercedes-Benz,Sprinter High Roof,2014,65000,Diesel,54999
200,BMW,X5 3.0i,2004,140000,Gasoline,6730
201,Ford,Fusion SE,2018,75600,Gasoline,14950
202,Lincoln,MKZ Base,2015,117292,Gasoline,12000
203,Ford,GT,2005,1897,Gasoline,429998
204,Genesis,G90 5.0 Ultimate,2017,26000,Gasoline,33600
205,Lexus,LC 500 Base,2022,2071,Gasoline,99950
206,Ford,Shelby GT500 Base,2014,15629,Gasoline,61900
207,Saturn,Sky Base,2008,15020,Gasoline,18500
208,Audi,RS Q8 4.0T,2022,11322,Gasoline,119900
209,Toyota,Land Cruiser,2016,50361,Gasoline,65998
210,Mercedes-Benz,SL-Class SL 550,2013,115000,Gasoline,36000
211,Porsche,911 Carrera C2S,2005,28500,Gasoline,63500
212,Mercedes-Benz,AMG GLA 45,2018,51700,Gasoline,32000
213,Ford,Taurus X Limited,2008,148949,Gasoline,3900
214,BMW,440 Gran Coupe,2018,39300,Gasoline,31750
215,Honda,S2000 CR,2008,82323,Gasoline,28500
216,Acura,Integra w/A-Spec Tech,2023,3574,Gasoline,34998
217,Ford,Excursion Limited,2001,109357,Gasoline,12749
218,Mercedes-Benz,SL-Class SL500 Roadster,2004,46000,Gasoline,18853
219,Mercedes-Benz,CLS-Class CLS 550,2007,123112,Gasoline,104999
220,INFINITI,G35 Sport,2007,37100,Gasoline,16900
221,Volkswagen,Golf GTI 2.0T,2016,89000,Gasoline,14500
222,Dodge,Challenger R/T Scat,2022,1240,Gasoline,53900
223,Lincoln,Navigator L Reserve,2019,67073,Gasoline,47999
224,Maserati,Ghibli S Q4,2015,28700,Gasoline,24900
226,Mercedes-Benz,AMG G 63,2018,41000,Gasoline,108900
227,Ford,Expedition Limited,2018,98995,Gasoline,34998
228,Volkswagen,Routan SE,2012,123815,Gasoline,5000
229,Bugatti,Veyron 16.4 Grand,2011,6330,Gasoline,1950995
230,Toyota,Highlander XLE,2020,61341,Gasoline,34084
231,Honda,Civic LX,2016,96473,Gasoline,15599
232,Jeep,Wrangler Unlimited Sahara,2017,66107,Gasoline,31331
233,Land,Rover Range Rover,2008,114287,Gasoline,9900
234,Acura,ILX 2.0L w/Premium,2015,75000,Gasoline,14500
235,BMW,M6 Base,2016,45800,Gasoline,36800
237,BMW,X6 sDrive35i,2016,70582,Gasoline,35000
238,Porsche,Cayman S,2014,33088,Gasoline,49750
240,Cadillac,DTS Luxury II,2008,94155,Gasoline,10500
241,Cadillac,ATS 3.6L Luxury,2016,25000,Gasoline,17999
242,GMC,Sierra 1500 SLT,2016,99500,Gasoline,27995
243,INFINITI,G37 x,2009,158564,Gasoline,8750
244,Ford,Transit-350 XLT,2023,20000,Gasoline,78499
245,Cadillac,XTS Luxury,2018,46711,Gasoline,20850
246,Nissan,NV Passenger NV3500,2017,46496,Gasoline,41000
247,Mercedes-Benz,GLS 450 Base,2019,19800,Gasoline,53800
248,Toyota,Land Cruiser Base,2008,175000,Gasoline,37900
249,Toyota,Land Cruiser Base,2016,61500,Gasoline,63500
250,RAM,ProMaster 2500 Window,2016,49750,Gasoline,65000
251,Lamborghini,Gallardo Base,2007,38800,Gasoline,100000
252,Lincoln,MKZ Base,2011,83765,Gasoline,8995
254,Lamborghini,Huracan Tecnica Coupe,2023,278,Gasoline,359991
255,Alfa,Romeo Giulia Quadrifoglio,2022,1966,Gasoline,75900
256,Chevrolet,Trailblazer LT,2021,50648,Gasoline,23995
258,Lamborghini,Urus Base,2021,13692,Gasoline,257000
259,INFINITI,G37 x,2013,60058,Gasoline,15000
260,Maserati,Levante S,2017,54423,Gasoline,33950
261,Toyota,Highlander Limited,2022,24001,Gasoline,47498
262,Nissan,Armada SL,2022,14735,Gasoline,50998
264,Ford,Shelby GT500 Base,2022,2050,Gasoline,94999
265,Lincoln,Navigator L Reserve,2019,64855,Gasoline,46995
267,RAM,1500 Laramie,2022,18051,Gasoline,47995
268,Lincoln,Town Car Base,2004,36524,Gasoline,14900
269,Acura,TLX w/A-Spec Package,2022,14896,Gasoline,39998
271,Honda,CR-V EX,2003,224000,Gasoline,3900
272,Mercedes-Benz,E-Class E 550,2014,80581,Gasoline,26000
273,Mazda,MX-5 Miata Grand,2007,81400,Gasoline,11000
274,Porsche,718 Boxster Base,2019,6700,Gasoline,63000
275,Ford,Transit-350 XLT,2015,143000,Gasoline,22500
276,Kia,Sportage SX Turbo,2017,87842,Gasoline,18688
277,INFINITI,G37 S Sport,2010,116451,Gasoline,16500
278,Nissan,Titan XD S,2019,53677,Gasoline,27900
280,Land,Rover Discovery HSE,2019,20034,Gasoline,43998
281,Ford,Transit-350 XLT,2020,32000,Diesel,68000
282,INFINITI,Q70 3.7,2014,70312,Gasoline,19995
283,Jeep,Gladiator Rubicon,2022,8794,Gasoline,54000
284,Lincoln,MKX Base,2010,156000,Gasoline,5900
285,Porsche,911 Carrera 4S,2020,25568,Gasoline,134999
286,Mercedes-Benz,AMG C 43,2018,67100,Gasoline,34250
287,Porsche,Cayman Base,2014,52000,Gasoline,37000
288,Acura,MDX 3.7L Advance,2011,137200,Gasoline,12000
289,Volkswagen,Golf R 4-Door,2018,36000,Gasoline,32000
290,Kia,Forte GT-Line,2023,15500,Gasoline,24500
291,BMW,M8 Competition,2020,10906,Gasoline,96998
292,Lincoln,MKC Select,2019,49814,Gasoline,26545
294,Toyota,Highlander XLE,2021,67039,Gasoline,34645
295,Mazda,CX-30 Premium Package,2023,2636,Gasoline,28535
296,Porsche,Cayenne Platinum Edition,2018,50166,Gasoline,43550
297,Lincoln,MKZ Reserve,2017,37375,Gasoline,27500
299,Porsche,718 Cayman S,2019,9500,Gasoline,69000
300,Chevrolet,Corvette Base,2005,143095,Gasoline,16000
301,Acura,RSX Type S,2002,80000,Gasoline,8500
302,Ferrari,Roma Base,2021,3000,Gasoline,275000
303,Porsche,Cayman S,2007,5856,Gasoline,45000
304,Rolls-Royce,Phantom Drophead Coupe,2013,2958,Gasoline,488880
305,Audi,SQ7 4.0T,2022,28927,Gasoline,74900
307,Honda,Ridgeline RTL-E,2021,14442,Gasoline,38500
308,Mercedes-Benz,CLK-Class 500 Cabriolet,2005,64000,Gasoline,12995
309,Lexus,GX 470 Base,2004,154000,Gasoline,10000
310,Lexus,NX 200t Base,2015,54000,Gasoline,27000
311,Dodge,Dakota SLT Quad,2007,232492,Gasoline,6000
312,Maserati,Ghibli S Q4,2020,25721,Gasoline,52645
313,Land,Rover Discovery Sport,2020,20927,Gasoline,35998
314,Aston,Martin DBX Base,2021,2353,Gasoline,159500
315,Audi,Q3 45 S,2022,9325,Gasoline,33610
316,Ford,Explorer XLT,2020,61001,Gasoline,28616
317,Mercedes-Benz,AMG GLC 63,2018,71962,Gasoline,46900
318,Subaru,BRZ Premium,2023,5800,Gasoline,29990
319,BMW,640 i,2016,40080,Gasoline,28499
320,Kia,Stinger GT2,2020,57000,Gasoline,36500
322,Subaru,Forester 2.5 XT,2004,122000,Gasoline,9999
323,Kia,Sportage X-Pro,2023,459,Gasoline,36998
324,BMW,M4 Base,2016,62500,Gasoline,40500
325,Hyundai,Equus Signature,2013,72000,Gasoline,17500
326,Mercedes-Benz,AMG E 53,2020,8375,Gasoline,69900
327,BMW,M550 i xDrive,2020,40000,Gasoline,53000
328,Subaru,Impreza WRX STI,2014,77000,Gasoline,30000
329,Mercedes-Benz,AMG G 63,2019,19593,Gasoline,159998
330,Mazda,Mazda6 Grand Touring,2020,35902,Gasoline,22966
331,Hyundai,Veloster Base,2013,800,Gasoline,9800
332,Bentley,Bentayga S,2023,2600,Gasoline,239995
334,Kia,Telluride SX,2020,69185,Gasoline,37405
335,Maserati,GranTurismo Sport,2015,45000,Gasoline,41900
336,BMW,540 i xDrive,2020,37426,Gasoline,39998
337,INFINITI,M56 Base,2011,137000,Gasoline,8500
339,Chevrolet,Corvette Stingray w/1LT,2023,4000,Gasoline,73900
341,Lexus,GX 460 Base,2018,52100,Gasoline,38000
342,BMW,X1 sDrive28i,2014,50100,Gasoline,10795
343,Alfa,Romeo Stelvio Ti,2020,41000,Gasoline,32400
344,RAM,1500 Big Horn,2021,70968,Gasoline,34000
345,BMW,M4 Base,2015,26600,Gasoline,53000
347,Volvo,S90 T5 Momentum,2018,95000,Gasoline,18000
348,Subaru,Impreza WRX Sti,2005,94000,Gasoline,19500
349,BMW,X6 xDrive40i,2020,45076,Gasoline,57998
350,Cadillac,CTS 2.0L Turbo,2014,110000,Gasoline,11000
351,Land,Rover Discovery Sport,2016,49083,Gasoline,21590
352,Genesis,G90 5.0 Ultimate,2017,63500,Gasoline,27500
353,Mercedes-Benz,CLK-Class CLK 350,2009,21500,Gasoline,18000
354,Land,Rover Range Rover,2023,324,Gasoline,199998
355,Kia,Optima EX,2019,68166,Gasoline,20818
356,Toyota,Highlander SE,2018,53607,Gasoline,31853
357,Mercedes-Benz,Sprinter 4500 High,2019,16813,Diesel,45900
358,BMW,X1 xDrive28i,2020,18200,Gasoline,29500
359,Audi,R8 5.2,2015,51000,Gasoline,102000
360,Audi,S3 2.0T Tech,2018,16400,Gasoline,42800
362,Audi,SQ5 3.0T Premium,2022,8497,Gasoline,52900
363,Audi,A6 2.0T Premium,2016,68000,Gasoline,20000
364,Lamborghini,Huracan EVO Base,2022,2523,Gasoline,288900
365,BMW,328 xi,2007,83000,Gasoline,8995
366,Audi,SQ5 3.0T Prestige,2018,25000,Gasoline,50000
367,Cadillac,Escalade Sport Platinum,2021,15689,Diesel,97952
368,BMW,M235 i,2014,125450,Gasoline,17200
369,Kia,Telluride SX,2023,9822,Gasoline,50998
370,Chevrolet,Express 3500 Base,2008,144000,Gasoline,22000
371,GMC,Acadia SLE,2020,30900,Gasoline,27654
372,BMW,X3 xDrive30i,2021,2492,Gasoline,41598
373,Audi,TT 2.0T,2015,126760,Gasoline,14000
374,Subaru,Outback 3.6R Touring,2017,100680,Gasoline,20500
375,Mitsubishi,Eclipse Spyder GS,2001,90400,Gasoline,4495
376,Hyundai,Santa Fe SEL,2022,26895,Gasoline,29800
377,BMW,M5 Base,2018,20500,Gasoline,67000
378,Dodge,Ram 1500 ST,2011,134000,Gasoline,10500
381,Land,Rover Range Rover,2015,115550,Gasoline,17500
384,Mercedes-Benz,Sprinter 3500 High,2017,124630,Diesel,75000
385,Mercedes-Benz,AMG E 63,2019,17000,Gasoline,95000
386,BMW,440 i xDrive,2018,73500,Gasoline,32000
387,Acura,Integra LS,1998,120000,Gasoline,5500
388,Audi,Q7 55 Prestige,2019,73837,Gasoline,36340
389,BMW,M6 Base,2014,29500,Gasoline,40999
390,Volkswagen,Arteon 2.0T SE,2021,13613,Gasoline,29798
391,Lexus,LX 600 F,2023,1185,Gasoline,120990
392,INFINITI,Q40 Base,2015,143250,Gasoline,11500
393,BMW,Z4 3.0i Roadster,2006,46508,Gasoline,11500
394,BMW,M6 Base,2015,18651,Gasoline,59549
395,BMW,X3 M40i,2019,36438,Gasoline,39998
396,Kia,Sorento LX,2014,46628,Gasoline,15363
398,BMW,Z4 sDrive28i,2015,57550,Gasoline,29995
399,Cadillac,CTS-V Base,2017,48600,Gasoline,60999
400,Ford,Transit Connect XL,2020,119000,Gasoline,18000
401,Land,Rover Range Rover,2020,36500,Gasoline,72000
402,Lexus,IS 250 Base,2010,121250,Gasoline,13250
404,Volvo,XC90 T6 Momentum,2018,110380,Gasoline,22000
405,Hyundai,Tucson Limited,2008,149000,Gasoline,3850
406,Dodge,Durango GT,2021,14684,Gasoline,37995
407,Mercedes-Benz,AMG C 43,2017,39000,Gasoline,39000
408,GMC,Yukon XL SLT,2019,65212,Gasoline,42995
409,Audi,RS Q8 4.0T,2020,41856,Gasoline,91500
412,Alfa,Romeo Stelvio Quadrifoglio,2019,26500,Gasoline,53900
413,Land,Rover Range Rover,2020,38356,Gasoline,36598
414,Alfa,Romeo Stelvio Ti,2020,21487,Gasoline,35345
415,Cadillac,Escalade EXT Base,2007,99000,Gasoline,22999
417,Nissan,350Z Enthusiast,2005,130307,Gasoline,9950
418,Subaru,Legacy 2.5 i,2010,178000,Gasoline,7600
419,Honda,Civic LX,2003,160265,Gasoline,3000
420,McLaren,570S Spider,2020,8700,Gasoline,185000
421,Maserati,Ghibli S Q4,2016,1000,Gasoline,36000
422,Jeep,Wagoneer Series II,2022,29800,Gasoline,58900
423,Maserati,Ghibli S Q4,2017,49750,Gasoline,27995
424,Lexus,RX 300 Base,2002,121000,Gasoline,6348
425,Lincoln,Aviator Luxury,2005,140000,Gasoline,2000
427,Cadillac,SRX Luxury Collection,2016,61549,Gasoline,19998
428,Lincoln,MKS EcoBoost,2016,38100,Gasoline,21000
429,Toyota,Yaris Base,2010,138071,Gasoline,5000
430,Mercedes-Benz,AMG E 63,2019,40000,Gasoline,72000
432,Mercedes-Benz,G-Class G 550,2019,47850,Gasoline,127899
433,Hyundai,Veloster Turbo R-Spec,2014,128000,Gasoline,11000
434,Toyota,4Runner Limited,2019,48156,Gasoline,40368
436,Audi,RS 7 4.0T,2017,39071,Gasoline,67900
437,Mazda,MX-5 Miata Base,1999,96680,Gasoline,12900
438,Mercedes-Benz,AMG C 43,2017,53500,Gasoline,33999
439,Chevrolet,Corvette Z06,2007,11025,Gasoline,47500
440,Ford,F-250 King Ranch,2021,44000,Diesel,73000
441,Volkswagen,Tiguan 2.0T SE,2022,11000,Gasoline,27900
442,BMW,750 Li xDrive,2012,103000,Gasoline,16000
443,BMW,M3 CS,2024,456,Gasoline,128995
444,Lexus,GX 460 Base,2018,64000,Gasoline,37300
445,Audi,Q7 3.0T Premium,2017,108000,Gasoline,25999
446,Alfa,Romeo Stelvio Ti,2018,37045,Gasoline,26600
448,BMW,750 i xDrive,2019,28744,Gasoline,50998
449,BMW,M3 Base,2015,65800,Gasoline,44950
450,Rolls-Royce,Ghost Base,2021,850,Gasoline,314900
452,Lexus,IS 250 Base,2011,107818,Gasoline,11400
453,Land,Rover Range Rover,2016,79500,Gasoline,19000
454,Ferrari,California T,2015,20000,Gasoline,124990
455,Lexus,LC 500 Base,2018,37000,Gasoline,63997
457,GMC,Sierra 1500 SLE,2005,131800,Gasoline,5800
458,Lexus,ES 350 Base,2008,146000,Gasoline,8995
459,Nissan,370Z NISMO,2010,29000,Gasoline,29000
460,Dodge,Ram 1500 Laramie,2004,141209,Gasoline,5700
461,Ford,Expedition Limited,2016,85253,Gasoline,19995
462,INFINITI,QX70 Base,2015,87009,Gasoline,17800
463,BMW,X5 M Base,2023,4348,Gasoline,105900
464,Lincoln,Navigator Select,2016,158000,Gasoline,19780
465,Volvo,V60 Cross Country,2020,10500,Gasoline,36000
466,Audi,A7 3.0T Premium,2018,45843,Gasoline,37000
467,Ford,Bronco Sport Outer,2021,15198,Gasoline,31621
468,Volkswagen,Eurovan MV,2001,220000,Gasoline,5500
469,Jaguar,F-TYPE R,2017,58000,Gasoline,51500
471,RAM,1500 Laramie,2021,38012,Gasoline,45277
473,BMW,M760 i xDrive,2021,11078,Gasoline,91900
474,Lexus,LX 570 Three-Row,2018,50000,Gasoline,65000
475,Land,Rover Range Rover,2019,58000,Gasoline,38000
476,Acura,MDX w/Technology Package,2023,3415,Gasoline,54998
477,Lexus,LC 500 Base,2018,61000,Gasoline,65000
478,Audi,SQ5 3.0T Prestige,2019,48500,Gasoline,43500
479,Land,Rover Range Rover,2018,65680,Gasoline,34900
480,RAM,1500 Limited,2020,44362,Gasoline,50658
481,Audi,S4 3.0T Premium,2019,18603,Gasoline,42900
483,Cadillac,Escalade ESV Sport,2021,8044,Gasoline,93000
484,Mercedes-Benz,AMG GT AMG,2016,9738,Gasoline,85500
485,BMW,M3 Base,2009,112000,Gasoline,28000
486,Honda,Accord EX-L,2009,167300,Gasoline,6250
487,Rolls-Royce,Cullinan,2022,115,Gasoline,449995
488,Cadillac,Escalade Premium,2015,71000,Gasoline,35999
489,Acura,RDX Technology Package,2020,31015,Gasoline,36570
490,BMW,X2 xDrive28i,2022,33000,Gasoline,29999
493,Mercedes-Benz,AMG S 63,2020,20937,Gasoline,104900
494,RAM,2500 Tradesman,2021,34365,Gasoline,48000
495,Mercedes-Benz,Metris Base,2018,32000,Gasoline,44900
496,Land,Rover Range Rover,2020,40237,Gasoline,36998
497,Volvo,XC90 T6 Inscription,2020,22500,Gasoline,50000
498,Ford,Expedition King Ranch,2020,58700,Gasoline,48999
500,Toyota,Tundra SR5 Access,2005,209500,Gasoline,8500
501,Ford,Transit-350 Base,2023,195,Gasoline,87500
502,Chevrolet,Express 3500 LT,2016,120000,Diesel,19500
506,Mercedes-Benz,AMG GT 53,2021,17994,Gasoline,87500
507,Toyota,Tundra Limited,2020,44101,Gasoline,45423
508,BMW,X1 xDrive28i,2021,25918,Gasoline,32000
509,BMW,135 i,2008,87000,Gasoline,15300
510,Mazda,Mazda3 Touring,2018,28333,Gasoline,20500
511,Audi,A7 3.0T Premium,2018,29294,Gasoline,39999
512,Saturn,Sky Red Line,2008,37000,Gasoline,14995
513,BMW,Z4 2.5i Roadster,2005,138000,Gasoline,9950
515,Acura,TLX A-Spec,2021,16878,Gasoline,38781
516,Acura,MDX w/Technology Package,2022,30177,Gasoline,46598
517,Chevrolet,Tahoe High Country,2021,53000,Gasoline,67100
519,Mercedes-Benz,GLK-Class GLK 350,2013,99200,Gasoline,11495
520,Chevrolet,Traverse LS,2022,32117,Gasoline,33299
